"","age","hiv_infected_infants","syphilis_infected_infants","coinfected_infants","lbw_infants","healthy_infants","syph_dead","hiv_dead","bg_dead","discounted_costs"
"1",0,13386.4321787046,14627.4210502079,253.650138381828,587.907844522752,1595518.70502724,3489.56200339026,0,0,NA
"2",1,10684.1062180996,14093.5201818753,202.445654266137,566.449208197671,1537282.27229375,3489.56200339026,2753.53044472065,58791.7922381519,2368421.24727974
"3",2,10280.4010168475,14042.151001344,194.796126834476,564.384569181852,1531679.06390053,3489.56200339026,3166.81996477987,64448.4344509172,2107832.02504082
"4",3,9891.95005270153,13990.9690552774,187.435641270076,562.327455526125,1526096.27852582,3489.56200339026,3564.85524773295,70084.4588853505,1969112.97025882
"5",4,9518.17693539231,13939.9736612287,180.353275956956,560.277839801461,1520533.84173018,3489.56200339026,3948.21268384925,75699.9406907659,1839523.18950388
"6",5,9158.52705389391,13889.1641392381,173.538521958784,558.235694678805,1514991.67934549,3489.56200339026,4317.44688415475,81294.9547425675,1718461.87386483
"7",6,9145.66906306361,13869.664634122,173.294884885823,557.451967186263,1512864.72716132,3489.56200339026,4330.66098368399,83442.1901593395,1666067.24508616
"8",7,9132.82912403654,13850.1925050739,173.051589863852,556.66933999739,1510740.76108306,3489.56200339026,4343.85703141,85586.410993839,1615270.08970309
"9",8,9120.0072114691,13830.7477136592,172.808636412653,555.887811567428,1508619.7769184,3489.56200339026,4357.03505267639,87727.621478348,1566021.70193586
"10",9,9107.2033000533,13811.3302214979,172.566024052684,555.10738035379,1506501.77048091,3489.56200339026,4370.19507279113,89865.8258392072,1518274.86100785
"11",10,9094.41736451665,13791.9399902634,172.323752305073,554.328044816053,1504386.73759007,3489.56200339026,4383.33711702673,92001.0282968232,1471983.7858689
"12",11,9084.39142401685,13776.7353692111,172.133777772559,553.716938048908,1502728.25950233,3489.56200339026,4393.64268854556,93675.3221123775,1427534.98029415
"13",12,9074.37653639475,13761.547510159,171.944012673291,553.106504982985,1501071.60976731,3489.56200339026,4403.9372071867,95347.770139521,1384428.37450175
"14",13,9064.37268946536,13746.3763946282,171.754456776386,552.496744875576,1499416.78636936,3489.56200339026,4414.22068513513,97018.3744131026,1342623.43871295
"15",14,9054.37987105709,13731.2220041603,171.565109851213,551.887656984793,1497763.7872951,3489.56200339026,4424.49313456243,98687.1369657279,1302080.86700777
"16",15,9044.39806901181,13716.084320317,171.375971667395,551.279240569565,1496112.61053332,3489.56200339026,4434.75456762675,100354.059827762,1262762.54036868
"17",16,9027.14803742024,13689.9241617268,171.049112886662,550.227806937052,1493259.13265682,3489.56200339026,4452.48837634388,103234.74929649,1223644.77871904
"18",17,9009.9309061486,13663.8138973981,170.722877511075,549.178378663351,1490411.09710861,3489.56200339026,4470.18928474109,106109.944537304,1185738.8041058
"19",18,8992.74661244735,13637.7534321695,170.397264351637,548.130951923721,1487568.49350875,3489.56200339026,4487.8573555679,108979.656029133,1149007.0778826
"20",19,8975.59509368668,13611.742671061,170.072272221618,547.085522900711,1484731.31149709,3489.56200339026,4505.49265145414,111843.894230918,1113413.22427237
"21",20,8958.4762873562,13585.781519274,169.747899936555,546.042087784154,1481899.54073326,3489.56200339026,4523.09523491019,114702.669581656,1078921.99434411
