"year","age","hiv_neg","hiv_pos_k","hiv_pos_uk","dead","maternal_hiv_treatment_costs"
0,22,1503942.73989668,117113.724184944,6007.01477374815,4406.90178919112,14318851.8332015
1,23,1476218.35833572,116740.521184453,24985.9500768905,13525.5510475079,14273222.3520716
2,24,1473336.67277653,129440.260599167,12865.0783967652,15827.6063119801,15825949.7396184
3,25,1470460.61247704,136069.355034623,6812.50443567203,18126.3850655358,16636452.7073124
4,26,1466519.11301109,139564.346214795,3786.71474752543,21597.6407894434,17063766.0833963
5,27,1462588.17854626,141541.135637059,2276.03558047895,25061.4255427253,17305457.2689497
6,28,1458667.78076359,142758.917957041,1521.2845099029,28517.7554058775,17454348.8247965
7,29,1454757.89142,143596.479858604,1143.68704165755,31966.6464247813,17556752.9183653
8,30,1450858.48234813,144242.813260649,954.263405424074,35408.1146107776,17635776.5535808
9,31,1445480.25247959,144643.191512486,857.44977681072,40481.3591554379,17684728.6034383
10,32,1440121.95932911,144992.623468021,807.78139486241,45538.4732981042,17727451.7294589
11,33,1434783.5289927,145314.774027365,781.615954890707,50579.508327838,17766839.3090045
12,34,1429464.88784031,145621.449272056,767.169859981792,55604.5153706107,17804334.8068226
13,35,1424165.96251482,145918.544666507,758.570020053971,60613.5453898221,17840659.0289672
14,36,1417025.97722676,146017.273815892,751.411005101653,67660.0769349696,17852730.0998131
15,37,1409921.78790016,146110.113024408,745.973389573136,74674.990503475,17864081.0399382
16,38,1402853.21507375,146197.954995454,741.402008839461,81658.4279704982,17874820.9952842
17,39,1395820.08018598,146281.262716319,737.271151540234,88610.5305745594,17885006.5727638
18,40,1388822.2055705,146360.285149454,733.368869958804,95531.4389203956,17894668.211649
19,41,1379635.23379719,146199.468939858,727.829483884918,104882.34656378,17875006.0969514
20,42,1370509.03326589,146034.459249433,722.672933931085,114176.309616196,17854831.2683847
